label,text,text1,text2
75,funny happened aguilera repeat national anthem yahoo news,['funny happened random repeat and celebrity yahoo news'],['funny radio aguilera repeat the anthem yahoo news']
88,hollywood director honor king speech reuters,['hollywood director & king speech highlights'],['hollywood director honor recognition speech reading']
87,kung pao chicken recipe,['kung Fu chicken wings'],['kung chi chicken recipe']
37,giffords rocky road recovery health news,['giffords rocky road recovery funding issues'],['giffords rocky road general health fund']
99,complete list super bowl commercial advertiser youtube,['complete list every bowl commercial on youtube'],['complete list super bowl commercial pilot magazine']
103,senator avoiding tea party caucus,['senator in tea pot caucus'],['senator avoiding tea party business']
99,watch volkswagen superbowl commercial youtube ad blitz channel escarabaajoos,['watch volkswagen superbowl attack with music blitz go escarabaajoos'],['see this superbowl tv youtube ad blitz channel facebook']
82,washington legislature wade immigration debate oregonlive summary requires employe verify,['washington legislature wade duck debate oregonlive summary o employe update'],['minnesota legislature wade immigration debate oregonlive who requires or verify']
62,te boozing news starbucks huge trenta cup hold entire bottle wine,['te boozing off starbucks huge trenta cup filled baby bottle overnight'],['te boozing news starbucks huge trenta [UNK] empty entire bottle [UNK]']
44,carney obama press secretary,['carney the press bureau'],['carney obama defence secretary']
72,kardashians pier morgan stupid answer question perfect,['kardashians like morgan made marriage question perfect'],['kardashians pier morgan multiple answer question 2005']
56,chavez mark year office venezuelan president hugo chavez mark year power promising press,['chavez mark year water free elections hugo chavez mark year power free press'],['chavez mark day office venezuelan president carlos victor mark year power promising press']
14,rite safe horror film devil time plain dealer,['rite safe horror - devil time plain sight'],['rite safe horror night devil time plain job']
80,chipotle fire hundred immigration raid immigration probe forced mexican chain chipotle fire,['chipotle tweet sparked DOJ raid immigration probe forced by chain chipotle fire'],['chipotle six hundred immigration raid dea probe forced prison chain sales fire']
99,beetle commercial creative superbowl great teaser,['beetle deer creative superbowl great health'],['beetle commercial creative creative content teaser']
79,yemen thousand protest government worldnomads travelsafety,['yemen thousand protest over worldnomads session'],['by its member government worldnomads travelsafety']
22,going amazing constitutional showdown reach supreme court,['going amazing law amendments reach supreme court'],['going amazing constitutional showdown reach me ॥']
60,aquarium fish aquarium success good common sense will fir,['aquarium to aquarium success when common sense will fir'],['aquarium fish aquarium your good common sense will improve']
89,justice extend protection workplace retaliation supreme court ruled employer sued,['justice extend protection workplace retaliation supreme court create employer tort'],['justice about it workplace retaliation supreme court ruled employer sued']
44,white house press secretary jay carney,['white collar press secretary James carney'],['green house press secretary jay wilson']
88,oscar reaction guess king speech,['oscar has given king speech'],['oscar reaction guess acceptance speech']
95,cnn hack facebook unlocks security facebook adding security feature pa,['cnn hack facebook unlocks security facebook supports security sign on'],['cnn on facebook unlocks security website adding security feature website']
84,nfl concussion people survey wix jsquared concussion,['nfl safety sensitivity survey wix jsquared concussion'],['nfl young people survey for football concussion']
57,national guard called chicago snow storm woow snow chill people,['national emergency called mass snow dump woow snow chill people'],['national guard division chicago snow storm woow river chill windy']
77,loooooooooooove ncis,['loooooooooooove it'],['ep ep']
55,weight loss diet plan acai juice equal nutritional claim acai,['weight loss diet recommended acai and equal nutritional status acai'],['weight control diet plan acai juice equal nutritional ratio of']
64,traffic depot update oceanside green light red light camera ticket traffic,['traffic depot update your green light red deer camera ticket info'],['traffic depot update location green light red light reserved for traffic']
75,christina aguilera mess national anthem start super bowl xlv,['christina and mess national anthem start the jam xlv'],['christina wilson mess national anthem team of bowl xlv']
99,definitely forward superbowl commercial year esp steve martin cameo,['definitely forward superbowl commercial edited by steve martin |'],['a forward superbowl commercial circa 2000 steve martin cameo']
55,acai berry diet succeed hoodia gordonii site acai berry cultivated acai palm,['acai floral diet succeed hoodia gordonii site Din berry diet acai...'],['acai berry diet found in flowering site a berry cultivated acai palm']
56,hugo chavez apologizes venezuelan people ahead election,['hugo lang rallies gay people ahead election'],['hugo chavez apologizes towards people ahead resigned']
60,fishing news banner website,['fishing cat banner website'],['fishing news the website']
30,keith olbermann join current tv report keith olbermann controversial liberal pundit ho,['keith olbermann leaked national tv report in olbermann to liberal pundit ho'],['keith olbermann join current tv report keith allen controversial world radio moderator']
21,chicago rahm emanuel ballot,['chicago rahm eman 2017'],['chicago ii emanuel ballot']
62,tanning iced coffee tazo iced tea hello trenta,['tanning iced ale tazo iced beer ben trenta'],['tanning iced cocoa tazo iced chocolate la trenta']
72,watching kourtney kim khloe loving waiting forever,['watching hot kim khloe loving family weekend'],['watching kourtney kim roth is marriage forever']
86,vincent tabak appears court charged murder,['vincent tabak appears violently charged again'],['ali tabak appears court charged as']
87,casserole recipe bruschetta chicken bake submitted heather simple creative chicken meal mimic,['casserole recipe for chicken bake enjoy this simple creative dishes meal mimic'],['casserole recipe bruschetta chicken recipe submitted for simple live chicken kitchen mimic']
75,honor epic fail national anthem top ten list time worst,['honor epic American national final top ten list time series'],['honor epic fail national tour top ten music time worst']
60,info topic fish tank heater aquarium stuff technorati tag aquarium heater aquariu,['info topic name space heater aquarium stuff technorati tag aquarium FAQ info'],['info topic fountain tank pond aquarium stuff soda water aquarium heater aquariu']
87,grilled chicken tomato salad,['grilled chicken salad salad'],['grilled chicken duck salad']
109,today read concerned gasland movie stand set record straight,['today as concerned gasland owners stand set record straight'],['it read concerned gasland movie stand set walk straight']
88,king speech top film producer award ap ap king speech claimed crown be,['king reveals top film producer award nominees ap no speech claimed crown be'],['king hotel top film producer award ap ap king speech gold crown aria']
88,sag prediction award tracker hmmmm,['sag prediction award tracker report'],['sag prediction of tracker data']
99,kia spent lot money optimum superbowl commercial,['kia spent lot to optimum this commercial'],['kia spent lot including optimum superbowl but']
99,doritos commercial raising dead best night superbowl nfl,['doritos commercial sales of over night superbowl nfl'],['doritos commercial with dead all night superbowl 2008']
73,idf intelligence chief iran nuclear bomb year haaretz,['idf intelligence chief suggested atom bomb year 1978'],['idf intelligence chief iran nuclear devices experts haaretz']
77,yeah don csis nciss enjoy mentalist,['yeah don you nciss a mentalist'],['many don csis still enjoy mentalist']
11,uk robert kubica injured rally accident italian polish medium,['uk ro kubica - rally accident italian polish news'],['uk captain kubica injured and promoter italian polish medium']
88,breaking news king speech take top honor hollywood actor honor best sunday night annual screen ac,['breaking shows king speech take top honor Cannes will honor best that night annual screen ac'],['breaking news king movie nominations that honor hollywood actor honor best sunday night annual screen award']
22,obamacare reagan appointed federal district judge florida ruled key portion obama,['obamacare repeal appointed federal district court and ruled key portion unconstitutional'],['obamacare reagan appointed first district judge but ruled key portion closed']
79,st tunisia egypt yemen,['st tun di yemen'],['belgium tunisia egypt yemen']
99,best superbowl commercial year chrysler comeback,['best tv commercial on chrysler comeback'],['best superbowl champion of chrysler comeback']
66,horrible journalist attacked detained egypt yahoo news,['horrible men attacked detained egypt after news'],['fifa games attacked detained egypt yahoo news']
66,list journalist hurt harassed egypt,['list stars also harassed egypt'],['list journalist has harassed egypt']
95,famous facebook flip flop social networking goliath number hasty move year,['famous facebook flip flop social media goliath numbers 1 move year'],['famous swiss flip flop computer networking goliath number of move year']
66,yikes list journalist attacked egypt hour abc news,['yikes NYC journalist attacked with hour 6 news'],['yikes list journalist the egypt hour abc media']
65,lady press ahead fitness campaign daily caller obama tell abc good morning america,['lady press members of regimen daily caller obama tell abc good morning baby'],['lady press ahead fitness campaign daily nbc obama 10 abc good morning congress']
22,judge rule obama health care law,['judge rule out health nut law'],['judge rule university health care academy']
75,watch christina aguilera screw national anthem super bowl post,['watch christina aguilera screw national - super graphic trailer'],['watch christina aguilera screw ball anthem super at liberty']
55,acai berry powder content health weight loss hard figure,['acai chili powder content health & loss hard facts'],['acai berry powder better health weight point hard figure']
95,facebook privacy setting user,['facebook privacy setting no'],['facebook privacy setting is']
20,taco bell beef convenience cost,['taco store ride convenience cost'],['taco bell prime convenience food']
38,jordan thousand protest demand pm step wave mass protest arab spread opposition supporter,['jordan thousand protest demand tax i wave mass protest arab spread mosque supporter'],['jordan thousand protest demand of step wave mass violence arab democratic opposition supporter']
60,yap palau sport fishing promotional sport fishing video produced video rating,['yap palau sport 2 promotional day fishing video with video rating'],['yap palau sport fishing promotional sex fishing video suspended from rating']
89,court third party bias protection broad washington jan upi supreme court ruled unanimously,['court third party law protection broad washington v upi supreme court Rules unanimously'],['court third party witness protection broad washington dc upi supreme court ruled below']
60,yell cast jr hartley ad digital era author search fly fishing book dj hunt book read,['yell cast jr 5 - digital era whale search fly fishing book sea hunt book read'],['cast cast jr x ad digital era author search play fishing book dj mix book read']
60,boatsshopping fishing headline oklahoma metro trout fishing pond instructional clinic pave exciting winter angling html,['boatsshopping reports headline oklahoma wildlife center fishing pond planning clinic pave exciting winter angling html'],['boatsshopping fishing headline oklahoma metro trout fishing service veterinary clinic pave service at angling html']
60,three ton striped bass seized illegal fishing net,['three ton striped bass taken via fishing net'],['three ton striped shark and illegal fishing net']
22,federal judge strike health care reform call insurance purchase mandate aba journal,['federal ministers strike health benefits reform motor insurance purchase mandate aba journal'],['federal judge claims health defense attorney call insurance purchase mandate aba journal']
72,love khloe kardashian,['love note |'],['david kevin kardashian']
88,fighter king speech lead nominee tonight sag award beverly hill courier,['fighter first speech lead to tonight sag award beverly hill courier'],['stephen king speech lead nominee talk show award beverly hill courier']
75,check video christina aguilera super bowl national anthem mistake mess err,['check video christina - super bowl terrible bowls mistake mess err'],['clip video christina aguilera super bowl 2000 anthem mistake mess shit']
71,murray djokovic happened,['murray player 8'],['serbian djokovic happened']
110,pressure grows myanmar sanction call growing western sanction myanmar,['pressure campaign after sanction call growing western peace myanmar'],['he grows some sanction call growing western sanction and']
45,poll gop catch dems social medium,['poll show mit dems social medium'],['consumer price catch dems social medium']
12,nobel war prize wikileaks nuke fired cablegate wikileaks assange anonymous,['nobel war 42 wikileaks nuke fired 11 wikileaks / 2012'],['european war prize wikileaks nuke fired cablegate website personal site']
51,bbc news police lose officer,['bbc news managing resource officer'],['bbc news police reporting officer']
99,lololol doritos pepsi max killing superbowl commercial,['lololol doritos pepsi de killing cheese commercial'],['lololol doritos from max burger superbowl website']
22,federal judge healthcare law,['federal judge healthcare insurance'],['federal judge of law']
88,king speech notch top director award movie running darren aronofsky,['king speech notch top director award losing spot for aronofsky'],['guest speech notch top director award movie for alan aronofsky']
87,yummy recipe tuesday chicken fricasse,['yummy recipe tuesday family supper'],['yummy recipe a chicken stew']
55,secret natural weight loss food acai berry benefit,['secret for vision loss food acai berry benefit'],['secret root weight loss food and berry benefit']
32,job wrong place memo president dear president state union add,['job line place memo president dear president state union treasurer'],['job wrong place memo of conference president state union add']
26,employment gaining speed jobless rate,['employment gaining but jobless hiring'],['plan to speed jobless rate']
79,ten thousand yemeni protest sanaa ten thousand yemeni staged day rage calling,['ten twenty yemeni daily sanaa ten fifteen yemeni three day rage calling'],['ten day yemeni protest sanaa ten minute yemeni constitution day rage calling']
104,awful watched don text drive video driving class,['awful took her text drive video driving class'],['awful boys don text video video driving class']
106,netgear bos astonishing attack steve job,['netgear bos astonishing attack protection fork'],['ex bos sonic attack steve job']
75,bronco christina aguilera flub national anthem kmgh denver,['bronco christina aguilera ng national di ni den'],['elvis christina california flub national anthem for denver']
19,governor proposes sweeping cut funding york school medicaid program slashed,['governor proposes sweeping cut north york university choice program slashed'],['proposal proposes school cut funding and school medicaid program slashed']
84,check article fox news sideline test detect concussion minute,['check off fox news sideline test at concussion minute'],['check article fox business cable test detect concussion minute']
72,eye will definetely glued tv screen love kardashians,['eye was definetely glued as I love kardashians'],['eye camera definetely the tv screen love...']
104,don text drive pledge,['don text + pledge'],['don text drive it']
60,fishing technique fishing maine surf fishing striped bass,['fishing technique fishing with surf king striped bass'],['natural technique fishing in surf fishing striped bass']
25,tsa unveils body scanner software doesn naked alternet,['tsa unveils new scanner for doesn a alternet'],['tsa unveils double scanner 1 doesn naked 2']
88,oscar king speech haven black swan,['oscar a speech about black swan'],['oscar king speech by nathan swan']
90,teen creates anti bullying school program,['teen years anti residential school program'],['facebook watch anti bullying school program']
52,bedbug rapidly evolving fight pesticide tech news,['bedbug An evolving fight in tech news'],['bedbug rapidly increases technology pesticide tech news']
99,super bowl commercial report card ranking winner loser bleacher report,['super bowl commercial cue card scores winner over bleacher report'],['nfl bowl game report card ranking winner loser special report']
80,fast food caught immigration crosshairs reuters,['fast everyone caught immigration crosshairs »'],['fast company markets immigration crosshairs reuters']
44,vice president communication director jay carney named white house press secretary,['vice president de departments jay carney named white house communications secretary'],['vice president communication director mike brooks named white house campaign secretary']
89,high court third party sue retaliation case,['high court third party presiding over case'],['high court third party district court case']
75,kold aguilera repeat national anthem,['kold dog | national anthem'],['kold song repeat latin anthem']
99,volkswagon commercial superbowl,['volkswagon bus ride'],['a blue superbowl']
52,deadbedbugs fact bed bug cover,['deadbedbugs on bed bed cover'],['deadbedbugs fact report feather cover']
20,gross taco bell sued bogus beef,['gross taco bell pepper federal beef'],['2011 taco bell sued bogus because']
79,great bbc piece summarising unrest north africa middle east,['great revolutionary website summarising unrest north of middle east'],['the bbc piece economic unrest north africa middle west']
84,sidney crosby concussion rule change braine hope pray doesn sight,['sidney said concussion must change braine hope pray plain sight'],['sidney crosby concussion rule should you hope one doesn sight']
68,charlie sheen leaf hospital medical emergency,['charlie sheen | hospital and emergency'],['charlie white field hospital medical emergency']
62,trenta cup hold entire bottle wine wrong,['trenta does hold one bottle wine wrong'],['or cup an entire bottle wine wrong']
102,healthy school food pay save attention going,['healthy buying food pay save some going'],['healthy school food pay some attention online']
97,post financial aid college lt gt financial advice lt gt popular lt gt lt gt,['post placement examination college lt to financial advisor lt to popular lt gt lt gt'],['post finance aid college lt post financial aid lt gt popular lt gt lt gt']
104,teacher talking texting driving haaayy,['teacher s texting i haaayy'],['teacher comes back driving haaayy']
97,financial aid help woman school hispanic scholarship,['financial aid Detroit woman school hispanic kids'],['financial aid foundation woman awards hispanic scholarship']
66,mubarak silencing voice egypt journalist targeted read jan tahrir,['mubarak to one egypt journalist targeted read al tahrir'],['mubarak silencing continued as journalist targeted read jan 1']
99,video favorite superbowl commercial cute,['video favorite summary commercial results'],['big favorite superbowl commercial tv']
104,remember alex brown,['remember all brown'],['remember ruth brown']
99,enjoyed vw beetle commercial superbowl favorite,['enjoyed as a commercial superbowl favorite'],['enjoyed vw tv commercial and favorite']
104,join campaign texting driving save life future will help,['join the texting driving save life future technology help'],['join campaign auto driving save life future will we']
57,crazy lake shore drive downtown chicago shut,['crazy lake shore drive makes chicago great'],['crazy horse river drive downtown chicago shut']
106,blog post potential replacement steve job apple,['blog post potential replacement approaches to apple'],['blog post potential web editor job apple']
55,acai berry chocolate tasting weight loss diet plan adi news scientifically prov,['acai berry chocolate tasting eating loss diet from adi news scientifically video'],['acai berry chocolate fruit weight loss report [UNK] adi news scientifically prov']
87,red cabbage add color noodle salad soba salad chicken cabbage,['red cabbage add color noodle and soba salad side option'],['red cabbage add onion noodle salad soba is chicken fried']
91,boosting america fashion,['boosting america morale'],['boosting america was']
90,news workshop preventing bullying positive behavior support school,['news about preventing bullying positive your support school'],['skills workshop preventing bullying positive behavior attending school']
79,yemen president won election,['yemen president presidential election'],['yemen president won in']
85,best buy launch electronics buy program ap ap timing shopping gadget,['best buy launch Best buy program ap ap k Buy gadget'],['best buy monthly electronics news program ap ap timing video gadget']
99,force strong great ad volkswagon superbowl commercial,['force strong on speed volkswagon superbowl commercial'],['force strong great speed carry good commercial']
99,dragon cute drinking cola superbowl cocacola commercial,['dragon cute in their superbowl food commercial'],['dragon cute soda cola or cocacola commercial']
88,latest headline king speech lead oscar field british star colin firth helena bonham carter nominate,['latest headline king speech ground & field TV star colin firth j bonham & nominate'],['as headline front speech lead stage wins british star colin firth helena bonham carter nominate']
75,klassy breeze music blog black eyed aguilera love,['klassy metal music blog black eyed rock article'],['klassy planet fan blog black eyed peas love']
45,journalist social medium report egyptian demonstration journalist,['journalist social networks report egyptian government journalist'],['journalist social medium report online tv journalist']
88,hooper earns top dga prize king speech hooper won david fincher social network,['hooper earns honorary dga prize after speech just won david fincher award network'],['hooper earns him dga prize king michael hooper meets david fincher broadway network']
88,ap maker academy award favorite social network king speech competi,['ap maker academy award given social butterfly won speech competi'],['ap latino media award favorite social issue king speech competi']
71,congrats novak djokovic played brilliant tennis definitely deserve title,['congrats novak you played brilliant tennis a deserved title'],['congrats novak history 2016 super tennis definitely deserve title']
79,breaknews yemen street day rage yemeni filled street sanaa,['breaknews yemen i slave rage yemeni river street sanaa'],['breaknews bangladesh independence day rage yemeni filled day sanaa']
79,protest start yemen despite concession president hundred anti government protest,['protest start yemen river blockade Six hundred anti government protest'],['fire start day despite concession president hundred anti government protest']
66,al jazeera journalist detained cairo police hotel room equipment confiscated jan,['al jazeera journalist detained in police hotel room papers confiscated again'],['al jazeera has detained cairo police interview room equipment 20 jan']
100,update michael steele resigns rnc,['update from bus resigns rnc'],['update michael steele replaced defaulted']
79,egypt yemen demand change government well gt news tcot,['egypt students demand change for well gt news workers'],['egypt yemen demand change government well gt for 2013']
102,orange student dish school lunch white house chef orlando sentinel fl schoollunch letsmove,['orange student dish in the free house chef en sentinel fl schoollunch letsmove'],['orange groves conference school lunch white house santa orlando parker fl schoollunch letsmove']
60,successful ice fishing perch depth finder successful ice,['successful ice fishing perch proof of successful ice'],['successful for fishing perch depth finder successful chorus']
55,acai berry weight loss diet plan healthy weight reduction number diet plan,['acai berry fat reduction diet plan A weight reduction number diet plan'],['acai berry weight lifting diet plan healthy weight performance obesity diet plan']
20,thought beef lawsuit pr response,['thought beef lawsuit pr response'],['protest beef lawsuit pr response']
96,chris hemsworth lead celebrity storm tao sundance ministry appreciates sundance film festival founder,['chris hemsworth during celebrity storm tao health ministry appreciates US film studio founder'],['chris hemsworth lead female julia tao sundance ministry appreciates sundance film festival festival']
80,chipotle face ice inspection state reuters reuters chipotle mexican grill,['chipotle sells ice inspection state reuters rates despite mexican settlement'],['chipotle face for inspection state park online chipotle mexican grill']
72,love kim kardashian ur hot wooohoooo lol,['love kim kardashian life stories wooohoooo …'],['hit tv kardashian ur no wooohoooo lol']
79,ten thousand march yemen president sanaa yemen ten thousand lukewilliamss,['ten thousand march yemen en sanaa over eleven million lukewilliamss'],['ten thousand march yemen ben hussein al ten thousand lukewilliamss']
99,best commercial super bowl imported detroit best,['best local super bowl ad detroit best'],['best second super bowl imported best best']
77,late night time watch crime solving tv ncis csi sky looooove,['late night guys watch any solving info ncis my sky looooove'],['late night time csi crime solving tv movies csi series looooove']
99,doritos commercial vote funniest superbowl commercial,['doritos commercial 25 funniest movie commercial'],['the commercial vote funniest dating game']
99,budweiser wild west tiny dancer commercial definitely favorite superbowl,['budweiser wild west tiny car commercial definitely not video'],['budweiser lucky flowers tiny dancer commercial production favorite superbowl']
60,best deal fishing bait lure ebay best price,['best bait click bait lure ebay best price'],['well deal fishing best lure ebay best price']
27,fallon follow tip save energy included site tip will help beat hig,['fallon energy tip purchase energy included site tip will always beat hig'],['fallon star tip top energy included site this will help beat hig']
36,uk foreign office urgently checking briton caught explosion uk news,['uk foreign exchange urgently checking it caught up uk news'],['uk foreign office urgently checking briton affairs on uk website']
51,government spending cut leave north east forestry commission base saveourforests,['government ministers cut leave north of forestry work base saveourforests'],['government spending cut leave north yorkshire forestry commission and the']
62,starbucks trenta hold entire bottle wine people cougartown,['starbucks customers hold up bottle to people cougartown'],['vessels will hold entire bottle or people cougartown']
37,interested giffords improves watch hour tv gabrielle giffords watched hour television,['interested giffords improves watch length tv john giffords over hour TV'],['interested cinema improves watch hour tv gabrielle anwar drive hour television']
67,doc river ll wait chris forsberg boston celtic captain paul pierce departed thursday,['doc river ll ll chris men s draft captain ruth pierce departed thursday'],['doc river ll reserve chris scott boston united captain paul pierce departed thursday']
95,facebook privacy setting user,['facebook privacy setting tips'],['facebook privacy setting with']
54,daily review murdoch ipad newspaper rupert murdoch ipad launch daily offer glitzy graphic,['daily review murdoch ipad launch and murdoch digital launch daily offer glitzy contents'],['daily review murdoch ipad local review murdoch news launch daily offer glitzy graphic']
99,commercial video eminem lipton brisk super bowl commercial,['commercial video eminem lipton brisk beef bowl 2011'],['commercial video eminem lipton at super bowl game']
37,updated rehab aim giffords life,['updated rehab with giffords comment'],['updated september 2014 giffords life']
10,breakingnews looter broke museum destroyed pharaonic mummy late friday nation top archaeologist reuters egypt,['breakingnews looter broke museum of pharaonic mummy even as nation top official left egypt'],['breakingnews looter calls for destroyed ancient mummy late friday nation top newspapers reuters egypt']
60,grant fishing smile set grant arizona game fish department ki,['grant fishing smile - grant arizona community conservation department ki'],['grant fishing smile winner grant arizona game fish department manager']
95,tech cnn hack facebook unlocks security facebook adding security feature,['tech giant hack facebook updated security facebook adding health feature'],['online cnn hack app unlocks security facebook adding it feature']
101,black swan amazing natalie portman deserves award doubt will,['black swan amazing natalie portman deserves so read more'],['black swan amazing natalie... deserves worse doubt will']
87,recipe chicken cutlet,['recipe a cutlet'],['recipe of cutlet']
99,favorited youtube video gm chevy super bowl commercial bumblebee,['favorited youtube video gm che super hero commercial edit'],['favorited youtube video gm chevy phase 2 champion bumblebee']
38,thousand protest jordan middle east,['thousand point rock middle east'],['thousand protest jordan desert east']
96,sundance today tobey maguire demi moore kate bosworth tobey maguire waitin,['sundance travel tobey maguire until moore eve bosworth to maguire today'],['for today tobey dawson demi moore kate bosworth sara maguire waitin']
66,extraordinary stuff arrested beaten egypt police,['extraordinary stuff arrested illegally By police'],['similar stuff arrested beaten egypt ！']
60,florida top freshwater fishing destination,['florida County freshwater fishing guide'],['florida top salmon fishing destination']
60,best fly fishing website,['best fly fishing spots'],['best ever fishing website']
55,weight loss diet plan living healthy acai berry adi news acai berry promote weight loss imp,['weight promotion diet plan living healthy with berry adi ingredients in berry promote weight management imp'],['weight loss diet changes living healthy acai berry health news acai berry promote taxes lowering imp']
99,super bowl commercial,['super store commercial'],['egg bowl commercial']
97,asia center graduate summer grant harvard university usa beasiswa scholarship,['asia center graduate research grant harvard provides usa basketball scholarship'],['asia fund graduate summer grant harvard university postgraduate summer scholarship']
79,yemen girds day rage saleh vow step bloomberg,['yemen after day rage saleh vow cutting down'],['as girds with rage saleh vow step bloomberg']
88,king speech lead academy award nomination including best picture,['king pictures lead academy to nomination including best picture'],['king female lead academy award nomination in best picture']
108,freemont tribune safety tip atm tip safety,['freemont tribune issues net atm ski safety'],['mail tribune banks tip atm tip safety']
86,man charged joanna yeates murder,['man about joanna yeates after'],['man charged mr yeates who']
106,internet news steve job medical problem affect apple stock latest internet news steve job,['internet news did job medical problem affect me stock prices if news steve job'],['internet history steve job medical problem affect apple and market internet news steve job']
45,gop voter active social networking site political purpose washing artimpactnetpr,['gop voter active voter networks site political purpose washing powder'],['gop group campaign member networking site re purpose washing artimpactnetpr']
45,obama campaign playbook promote agenda social medium,['obama campaign playbook progressive agenda social mobility'],['obama family playbook government agenda social medium']
104,don text drive makeachange,['don text message makeachange'],['don john is makeachange']
